ANZSCO code,Occupation,Year,Metric,Value
1111,Chief Executives and Managing Directors,2011,Employment,66200.0
1112,General Managers,2011,Employment,50300.0
1113,Legislators,2011,Employment,2100.0
1211,Aquaculture Farmers,2011,Employment,1600.0
1212,Crop Farmers,2011,Employment,45100.0
1213,Livestock Farmers,2011,Employment,86600.0
1214,Mixed Crop and Livestock Farmers,2011,Employment,30000.0
1311,"Advertising, Public Relations and Sales Manager",2011,Employment,133300.0
1321,Corporate Services Managers,2011,Employment,11400.0
1322,Finance Managers,2011,Employment,56200.0
1323,Human Resource Managers,2011,Employment,49000.0
1324,Policy and Planning Managers,2011,Employment,26300.0
1332,Engineering Managers,2011,Employment,13700.0
1333,"Importers, Exporters and Wholesalers",2011,Employment,21600.0
1336,"Supply, Distribution and Procurement Managers",2011,Employment,33900.0
1341,Child Care Centre Managers,2011,Employment,12100.0
1342,Health and Welfare Services Managers,2011,Employment,20300.0
1343,School Principals,2011,Employment,19300.0
1344,Other Education Managers,2011,Employment,8500.0
1351,ICT Managers,2011,Employment,43700.0
1391,Commissioned Officers (Management),2011,Employment,1400.0
1392,Senior Non-Commissioned Defence Force Officers,2011,Employment,0
1399,Other Specialist Managers,2011,Employment,44900.0
1411,Cafe and Restaurant Managers,2011,Employment,61700.0
1412,Caravan Park and Camping Ground Managers,2011,Employment,3300.0
1413,Hotel and Motel Managers,2011,Employment,21600.0
1414,Licensed Club Managers,2011,Employment,8500.0
1419,Other Accommodation and Hospitality Managers,2011,Employment,6100.0
1421,Retail Managers,2011,Employment,233600.0
1491,"Amusement, Fitness and Sports Centre Managers",2011,Employment,7200.0
1492,"Call, Contact Centre & Customer Service Managers",2011,Employment,40100.0
1493,Conference and Event Organisers,2011,Employment,25200.0
1494,Transport Services Managers,2011,Employment,15800.0
1499,"Other Hospitality, Retail and Service Managers",2011,Employment,59600.0
2111,"Actors, Dancers and Other Entertainers",2011,Employment,7100.0
2112,Music Professionals,2011,Employment,12400.0
2113,Photographers,2011,Employment,11600.0
2114,Visual Arts and Crafts Professionals,2011,Employment,6500.0
2121,"Artistic Directors, Media Producers & Presenters",2011,Employment,10600.0
2122,"Authors, and Book and Script Editors",2011,Employment,2400.0
2123,"Film, Television, Radio and Stage Directors",2011,Employment,8800.0
2124,Journalists and Other Writers,2011,Employment,21800.0
2211,Accountants,2011,Employment,157500.0
2212,"Auditors, Company Secretaries and Corporate Treasurers",2011,Employment,14900.0
2221,Financial Brokers,2011,Employment,24100.0
2222,Financial Dealers,2011,Employment,17400.0
2223,Financial Investment Advisers and Managers,2011,Employment,45200.0
2231,Human Resource Professionals,2011,Employment,64600.0
2232,ICT Trainers,2011,Employment,6000.0
2233,Training and Development Professionals,2011,Employment,32900.0
2241,"Actuaries, Mathematicians and Statisticians",2011,Employment,6600.0
2242,"Archivists, Curators and Records Managers",2011,Employment,4100.0
2243,Economists,2011,Employment,4700.0
2244,Intelligence and Policy Analysts,2011,Employment,27300.0
2245,Land Economists and Valuers,2011,Employment,8800.0
2246,Librarians,2011,Employment,9800.0
2247,Management and Organisation Analysts,2011,Employment,36700.0
2249,Other Information and Organisation Professionals,2011,Employment,15600.0
2251,Advertising and Marketing Professionals,2011,Employment,44800.0
2252,ICT Sales Professionals,2011,Employment,14000.0
2253,Public Relations Professionals,2011,Employment,22000.0
2254,Technical Sales Representatives,2011,Employment,36200.0
2311,Air Transport Professionals,2011,Employment,13900.0
2312,Marine Transport Professionals,2011,Employment,10400.0
2321,Architects and Landscape Architects,2011,Employment,18200.0
